id;name;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
90;Solomon Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Virgin Islands, British;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Brunei Darussalam;80;96;104;122;124;136;129;182;231;198;187;217;227;240;261;240;175;179;179;172;168;165;155;150;150;152;164;182;175;179;175;165;163;157;182;193;203;210;214;210;206;221;194;175;168;172;165;158
100;Bulgaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Myanmar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Burundi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Belarus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Cameroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Canada;920;1012;1106;1194;1306;1473;1582;1829;2114;1993;1735;1598;1608;1597;1835;1764;1610;1590;1661;1775;1813;1805;1909;2002;1961;1968;1984;2066;2189;2281;2402;2480;2588;2672;2604;2703;2728;2858;3003;3080;3041;3208;3290;3207;3202;3332;3526;3741
132;Cape Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;Central African Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Sri Lanka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;168;173;153;144;127;118;122;114;101
152;Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;China;227;292;279;320;437;616;791;915;1077;1302;1548;1746;1880;2090;2132;2122;2033;2051;2130;2295;2508;2625;2694;2745;2764;2778;2831;2845;2892;2934;2993;3175;3216;3217;3218;3257;3310;3351;3406;3486;3642;3711;3742;3814;3805;4077;4074;4155
158;Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;Christmas Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Cocos (Keeling) Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;Colombia;203;199;192;176;214;226;224;203;192;175;164;153;144;137;129;131;140;147;158;173;183;307;388;380;407;446;430;442;458;460;591;635;667;775;838;687;604;578;541;528;526;529;531;588;671;786;915;944
174;Comoros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;Mayotte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Congo (Brazzaville);1;1;1;1;;;;6;41;48;35;41;32;47;54;61;80;88;104;117;115;115;123;136;154;156;156;167;185;185;180;200;225;264;266;256;236;227;208;217;239;271;221;235;269;294;293;296
180;Congo, the Democratic Republic of the;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Costa Rica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Croatia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Cuba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Czech Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Denmark;;;;;;;;2;3;2;3;4;10;8;8;6;15;34;43;47;60;74;93;96;112;121;142;157;168;185;186;208;230;238;299;363;348;371;368;390;377;342;311;287;265;249;225;207
212;Dominica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Dominican Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Ecuador;8;7;6;5;4;4;4;78;209;177;161;188;184;204;216;206;213;213;240;261;286;298;176;309;286;292;307;328;353;388;395;393;397;385;383;403;410;394;420;528;534;538;513;507;488;488;501;505
222;El Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Equatorial Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;5;7;17;60;83;100;118;194;230;266;351;358;342;350;347;307;274;252;283
231;Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Eritrea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Estonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Faroe Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Falkland Islands (Malvinas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;South Georgia and the South Sandwich Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Fiji;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Åland Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;French Guiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;French Polynesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;French Southern Territories;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Djibouti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;Gabon;25;29;69;93;101;109;116;126;152;204;227;226;226;212;196;178;153;156;158;174;173;166;155;178;205;270;295;289;305;337;356;365;364;337;340;276;262;256;274;273;270;242;246;240;241;255;254;245
268;Georgia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Gambia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Palestinian Territory, Occupied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;Ghana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Kiribati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;Greece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;Greenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;Grenada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;Guadeloupe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;Guam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;Guyana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;Haiti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;Heard Island and McDonald Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;Holy See (Vatican City State);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;Honduras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;Hong Kong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;Hungary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;Iceland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;India;62;96;117;120;139;140;148;152;148;155;171;178;210;233;265;193;309;412;525;583;627;658;639;672;719;715;677;615;590;684;774;736;754;737;736;772;775;800;802;816;785;809;809;809;796;873;903;894
360;Indonesia;486;474;510;599;642;854;892;1081;1338;1375;1306;1504;1685;1635;1590;1577;1602;1337;1419;1505;1342;1429;1420;1373;1481;1539;1669;1579;1588;1589;1578;1580;1557;1520;1408;1456;1387;1289;1176;1130;1096;1018;972;1006;994;1003;952;918
364;Iran;1908;2132;2603;2840;3376;3848;4572;5059;5907;6060;5387;5918;5714;5302;3218;1479;1321;2397;2454;2043;2205;2054;2342;2349;2894;3270;3500;3523;3712;3730;3744;3759;3776;3855;3603;3852;3825;3580;4002;4201;4184;4260;4303;4396;4249;4356;4358;3680
368;Iraq;1313;1392;1228;1503;1521;1549;1694;1466;2018;1977;2271;2422;2358;2574;3489;2658;907;988;1106;1228;1425;1899;2391;2782;2838;2149;285;531;455;505;530;580;1166;2121;2610;2613;2522;2116;1344;2030;1833;1999;2143;2428;2452;2490;2801;3115
372;Ireland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;Israel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;Italy;48;39;37;35;34;32;29;25;23;23;27;28;27;31;36;35;31;37;47;47;50;53;82;100;96;97;90;93;96;102;109;113;124;117;104;95;86;115;116;113;127;120;122;108;95;106;110;112
384;Côte d'Ivoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;Jamaica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;Japan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;Kazakhstan;;;;;;;;;;;;;;;;;;;;;485;503;523;545;556;571;589;569;507;446;450;493;557;558;656;740;841;1021;1111;1283;1330;1403;1453;1526;1664;1740;1758;1728
400;Jordan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;Kenya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;Korea, Democratic People's Republic of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;South Korea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;Kuwait;2371;2505;2522;2656;2819;3036;3253;3339;3080;2603;2132;2199;2024;2182;2623;1757;1187;862;1117;1229;1127;1210;1072;1286;1408;964;185;1077;1945;2085;2130;2129;2137;2232;2085;2244;2186;2032;2370;2523;2668;2737;2663;2786;2511;2536;2880;3127
417;Kyrgyzstan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;Lao People's Democratic Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;Lebanon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;Lesotho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Latvia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;Liberia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;Libya;1220;1508;1733;2599;3108;3357;2750;2248;2211;1558;1514;1972;2108;2023;2139;1862;1253;1176;1151;1022;1025;1064;1003;1051;1164;1424;1439;1473;1402;1431;1439;1452;1491;1480;1425;1475;1427;1375;1485;1623;1745;1816;1820;1820;1652;1659;479;1509
438;Liechtenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;Lithuania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
442;Luxembourg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
446;Macao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;Madagascar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;Malawi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
458;Malaysia;1;1;1;4;9;18;69;93;91;81;98;167;183;216;282;276;259;304;385;446;445;500;494;540;589;622;648;657;645;657;704;716;714;725;691;722;702;740;760;776;757;713;742;741;701;703;640;657
462;Maldives;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;Mali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470;Malta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;Martinique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478;Mauritania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;Mauritius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;Mexico;362;370;411;439;461;487;486;506;525;653;806;894;1085;1327;1607;2129;2553;3001;2930;2942;2912;2758;2879;2877;2897;2941;3100;3098;3115;3136;3055;3270;3409;3499;3352;3456;3568;3593;3795;3830;3766;3689;3479;3165;2978;2959;2940;2911
492;Monaco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;Moldova, Republic of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;Montserrat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504;Morocco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;Mozambique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;Oman;;;57;241;327;332;294;282;293;290;341;367;340;314;295;285;330;338;391;419;502;564;588;625;651;695;716;748;785;819;868;897;909;905;911;961;959;900;822;783;777;740;713;759;815;867;891;922
516;Namibia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Nauru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;Nepal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
528;Netherlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;Curaçao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;Sint Maarten (Dutch part);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;Bonaire, Sint Eustatius and Saba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;New Caledonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
548;Vanuatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;New Zealand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Nicaragua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;Niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;Nigeria;274;418;319;141;540;1084;1531;1818;2056;2256;1785;2071;2098;1897;2306;2059;1440;1290;1236;1388;1499;1467;1353;1496;1775;1870;1960;2020;2024;1991;1998;2145;2316;2167;2066;2159;2268;2087;2233;2430;2502;2392;2265;2113;2211;2523;2460;2417
570;Niue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Norfolk Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Norway;;;;;;;6;33;32;35;189;279;287;356;407;528;512;532;661;752;823;907;1054;1196;1567;1716;1955;2217;2377;2693;2903;3232;3280;3138;3139;3346;3418;3333;3264;3180;2961;2772;2551;2466;2351;2137;2040;1916
580;Northern Mariana Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;United States Minor Outlying Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;Micronesia, Federated States of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;Marshall Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;Palau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;Pakistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Panama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;Papua New Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;Peru;66;66;74;77;75;75;64;67;73;79;73;77;92;152;193;196;194;196;171;185;189;179;165;142;131;130;116;117;127;128;123;121;120;116;107;97;95;95;89;86;92;97;96;99;107;113;110;107
608;Philippines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
612;Pitcairn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;Poland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;Portugal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;Guinea-Bissau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;Timor-Leste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;Puerto Rico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
634;Qatar;233;291;324;340;356;363;430;482;570;518;437;487;435;484;506;476;421;345;316;353;315;355;315;360;403;434;420;495;460;451;461;568;692;701;723;853;858;803;949;1082;1149;1241;1279;1449;1416;1676;1836;1966
638;Réunion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
642;Romania;266;271;279;280;281;284;292;298;304;308;311;313;313;293;265;250;254;256;252;249;236;223;211;205;202;169;146;142;144;145;145;142;141;137;133;132;131;128;124;120;114;105;100;99;94;90;89;86
643;Russian Federation;;;;;;;;;;;;;;;;;;;;;10863;11247;11416;11373;11070;10342;9264;7978;7119;6371;6236;6062;6171;6110;6119;6583;7106;7755;8602;9335;9598;9818;10044;9950;10139;10365;10510;10643
646;Rwanda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652;Saint Barthélemy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
654;Saint Helena, Ascension and Tristan da Cunha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;Saint Kitts and Nevis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
662;Saint Lucia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;Saint Martin (French part);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
666;Saint Pierre and Miquelon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
670;Saint Vincent and the Grenadines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;San Marino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;Sao Tome and Principe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;Saudi Arabia;2219;2615;2825;3081;3262;3851;4821;6070;7693;8618;7216;8762;9419;8554;9841;10270;10256;6961;4951;4534;3601;5208;4599;5720;5635;7105;8820;9098;8962;9084;9092;9244;9428;9449;8800;9470;9188;8907;10141;10458;10931;10671;10268;10663;9663;10075;11144;11530
686;Senegal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688;Serbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;Seychelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
694;Sierra Leone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
